state,county,site_type,site_version,captcha_protected,home_url
ca,kern,odyssey,1,,https://odyprodportal.kern.courts.ca.gov/PORTALPROD/Home/Dashboard/29
ca,napa,odyssey,1,True,https://portal.napa.courts.ca.gov/Secure/Home/Dashboard/29
ca,san mateo,odyssey,1,True,https://odyportal-ext.sanmateocourt.org/Portal-External/Home/Dashboard/29
ca,sonoma,odyssey,1,True,https://cmsportal.sonomacourt.org/IPortal/Home/Dashboard/29
ga,chatham,odyssey,1,,https://cmsportal.chathamcounty.org/Portal/Home/Dashboard/29
ga,dekalb,odyssey,1,,https://ody.dekalbcountyga.gov/portal/Home/Dashboard/29
ga,fulton,odyssey,1,,https://publicrecordsaccess.fultoncountyga.gov/Portal/Home/Dashboard/29
ia,adair,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,adams,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,allamakee,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,appanoose,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,audubon,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,benton,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,black hawk,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,boone,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,bremer,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,buchanan,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,buena vista,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,butler,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,calhoun,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,carroll,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,cass,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,cedar,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,cerro gordo,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,cherokee,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,chickasaw,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,clarke,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,clay,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,clayton,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,clinton,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,crawford,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,dallas,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,davis,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,decatur,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,delaware,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,des moines,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,dickinson,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,dubuque,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,emmet,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,fayette,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,floyd,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,franklin,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,fremont,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,greene,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,grundy,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,guthrie,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
